"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"합계","소계",계,2928670,913903,31.2,1166805,39.8,414103,14.1,300142,10.2,113927,3.9,19790,0.7,2883270,853433,29.6,1119821,38.8,427926,14.8,328103,11.4,130933,4.5,23054,0.8,2791092,800321,28.7,1017604,36.5,431188,15.4,358446,12.8,155645,5.6,27888,1.0,2611401,509626,19.5,945115,36.2,450991,17.3,445991,17.1,222222,8.5,37456,1.4,2604437,544176,20.9,918066,35.3,423354,16.3,440457,16.9,235723,9.1,42661,1.6
"합계","소계",남,2132241,567124,26.6,892063,41.8,326396,15.3,237337,11.1,92589,4.3,16732,0.8,2106912,528634,25.1,859269,40.8,336005,15.9,258263,12.3,105572,5.0,19169,0.9,2036566,496305,24.4,774306,38.0,338054,16.6,281087,13.8,123939,6.1,22875,1.1,1916444,318402,16.6,705657,36.8,343822,17.9,343320,17.9,174810,9.1,30433,1.6,1895131,348994,18.4,672591,35.5,320270,16.9,335491,17.7,183384,9.7,34401,1.8
"합계","소계",여,796429,346779,43.5,274742,34.5,87707,11.0,62805,7.9,21338,2.7,3058,0.4,776358,324799,41.8,260552,33.6,91921,11.8,69840,9.0,25361,3.3,3885,0.5,754526,304016,40.3,243298,32.2,93134,12.3,77359,10.3,31706,4.2,5013,0.7,694957,191224,27.5,239458,34.5,107169,15.4,102671,14.8,47412,6.8,7023,1.0,709306,195182,27.5,245475,34.6,103084,14.5,104966,14.8,52339,7.4,8260,1.2
"대한적십자사","소계",계,2714819,848698,31.3,1082833,39.9,379551,14.0,278326,10.3,106769,3.9,18642,0.7,2681611,794647,29.6,1046323,39.0,392698,14.6,303575,11.3,122562,4.6,21806,0.8,2613901,756107,28.9,955947,36.6,396869,15.2,332103,12.7,146380,5.6,26495,1.0,2435210,479602,19.7,889006,36.5,413734,17.0,410344,16.9,206998,8.5,35526,1.5,2426779,513107,21.1,861454,35.5,388637,16.0,404927,16.7,218406,9.0,40248,1.7
"대한적십자사","소계",남,1988861,530729,26.7,834314,41.9,300437,15.1,220596,11.1,86972,4.4,15813,0.8,1972773,497040,25.2,809306,41.0,309667,15.7,239577,12.1,98995,5.0,18188,0.9,1909232,469694,24.6,729930,38.2,311135,16.3,260254,13.6,116474,6.1,21745,1.1,1793118,301200,16.8,668020,37.3,315820,17.6,316336,17.6,162878,9.1,28864,1.6,1771956,331095,18.7,635567,35.9,294067,16.6,308646,17.4,170057,9.6,32524,1.8
"대한적십자사","소계",여,725958,317969,43.8,248519,34.2,79114,10.9,57730,8.0,19797,2.7,2829,0.4,708838,297607,42.0,237017,33.4,83031,11.7,63998,9.0,23567,3.3,3618,0.5,704669,286413,40.6,226017,32.1,85734,12.2,71849,10.2,29906,4.2,4750,0.7,642092,178402,27.8,220986,34.4,97914,15.2,94008,14.6,44120,6.9,6662,1.0,654823,182012,27.8,225887,34.5,94570,14.4,96281,14.7,48349,7.4,7724,1.2
"대한적십자사","서울중앙",계,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,60318,22.6,112506,42.2,45458,17.1,32565,12.2,12952,4.9,2778,1.0,251035,53737,21.4,100468,40.0,44972,17.9,33505,13.3,14970,6.0,3383,1.3,222024,33124,14.9,83030,37.4,45088,20.3,37398,16.8,19411,8.7,3973,1.8,216484,32344,14.9,78759,36.4,42802,19.8,37632,17.4,20552,9.5,4395,2.0
