"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월,합계,1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"합계","소계",계,2928670,219578,7.5,219624,7.5,255102,8.7,234293,8.0,279611,9.5,233108,8.0,262994,9.0,247719,8.5,246422,8.4,221593,7.6,253468,8.7,255158,8.7,2883270,237893,8.3,208722,7.2,257191,8.9,237446,8.2,265300,9.2,228152,7.9,248124,8.6,230871,8.0,228858,7.9,240652,8.3,265668,9.2,234393,8.1,2791092,238712,8.6,197949,7.1,234119,8.4,228082,8.2,254986,9.1,224933,8.1,243983,8.7,235244,8.4,212622,7.6,239142,8.6,244865,8.8,236455,8.5,2611401,206758,7.9,199657,7.6,208239,8.0,193247,7.4,231927,8.9,226746,8.7,231564,8.9,224448,8.6,215954,8.3,216183,8.3,222658,8.5,234020,9.0,2604437,213118,8.2,189312,7.3,233403,9.0,215655,8.3,229930,8.8,212800,8.2,217441,8.3,214344,8.2,206859,7.9,208673,8.0,226440,8.7,236462,9.1
"합계","소계",남,2132241,165943,7.8,163498,7.7,188460,8.8,170862,8.0,196491,9.2,170532,8.0,191472,9.0,180950,8.5,176480,8.3,160708,7.5,181718,8.5,185127,8.7,2106912,178490,8.5,155338,7.4,190658,9.0,171745,8.2,189225,9.0,165865,7.9,181998,8.6,170971,8.1,165388,7.8,173967,8.3,191179,9.1,172088,8.2,2036566,179806,8.8,150156,7.4,175514,8.6,169332,8.3,178042,8.7,163572,8.0,174832,8.6,169943,8.3,153758,7.5,169358,8.3,177495,8.7,174758,8.6,1916444,157201,8.2,147419,7.7,158505,8.3,146737,7.7,165974,8.7,167496,8.7,168603,8.8,160963,8.4,154938,8.1,158411,8.3,161702,8.4,168495,8.8,1895131,157066,8.3,139236,7.3,171347,9.0,158879,8.4,165241,8.7,151584,8.0,153311,8.1,156486,8.3,153353,8.1,153422,8.1,163283,8.6,171923,9.1
"합계","소계",여,796429,53635,6.7,56126,7.0,66642,8.4,63431,8.0,83120,10.4,62576,7.9,71522,9.0,66769,8.4,69942,8.8,60885,7.6,71750,9.0,70031,8.8,776358,59403,7.7,53384,6.9,66533,8.6,65701,8.5,76075,9.8,62287,8.0,66126,8.5,59900,7.7,63470,8.2,66685,8.6,74489,9.6,62305,8.0,754526,58906,7.8,47793,6.3,58605,7.8,58750,7.8,76944,10.2,61361,8.1,69151,9.2,65301,8.7,58864,7.8,69784,9.2,67370,8.9,61697,8.2,694957,49557,7.1,52238,7.5,49734,7.2,46510,6.7,65953,9.5,59250,8.5,62961,9.1,63485,9.1,61016,8.8,57772,8.3,60956,8.8,65525,9.4,709306,56052,7.9,50076,7.1,62056,8.7,56776,8.0,64689,9.1,61216,8.6,64130,9.0,57858,8.2,53506,7.5,55251,7.8,63157,8.9,64539,9.1
"대한적십자사","소계",계,2714819,203609,7.5,204429,7.5,236278,8.7,216101,8.0,257624,9.5,216420,8.0,244054,9.0,229286,8.4,228882,8.4,205464,7.6,235317,8.7,237355,8.7,2681611,221066,8.2,193180,7.2,241362,9.0,221319,8.3,246117,9.2,211546,7.9,228749,8.5,215089,8.0,212804,7.9,224639,8.4,248903,9.3,216837,8.1,2613901,223703,8.6,184775,7.1,220402,8.4,216020,8.3,239928,9.2,210563,8.1,229095,8.8,218973,8.4,199670,7.6,221125,8.5,228662,8.7,220985,8.5,2435210,194040,8.0,185968,7.6,190012,7.8,180470,7.4,216375,8.9,211916,8.7,215264,8.8,209860,8.6,202770,8.3,202821,8.3,208598,8.6,217116,8.9,2426779,200754,8.3,177855,7.3,218080,9.0,202033,8.3,214333,8.8,196943,8.1,201154,8.3,199282,8.2,193734,8.0,192817,7.9,210859,8.7,218935,9.0
"대한적십자사","소계",남,1988861,155586,7.8,153601,7.7,176038,8.9,159017,8.0,182311,9.2,159477,8.0,178544,9.0,168922,8.5,164338,8.3,149410,7.5,169242,8.5,172375,8.7,1972773,166940,8.5,145460,7.4,180312,9.1,160889,8.2,176418,8.9,154958,7.9,169335,8.6,160694,8.1,154480,7.8,163155,8.3,179932,9.1,160200,8.1,1909232,169986,8.9,140922,7.4,164895,8.6,159926,8.4,166770,8.7,152614,8.0,163999,8.6,158985,8.3,144527,7.6,156894,8.2,166173,8.7,163541,8.6,1793118,148356,8.3,137908,7.7,145589,8.1,137687,7.7,155684,8.7,157459,8.8,157097,8.8,150767,8.4,145685,8.1,148718,8.3,151353,8.4,156815,8.7,1771956,148488,8.4,131262,7.4,160396,9.1,149200,8.4,154316,8.7,141072,8.0,141927,8.0,146422,8.3,144391,8.1,142232,8.0,152402,8.6,159848,9.0
"대한적십자사","소계",여,725958,48023,6.6,50828,7.0,60240,8.3,57084,7.9,75313,10.4,56943,7.8,65510,9.0,60364,8.3,64544,8.9,56054,7.7,66075,9.1,64980,9.0,708838,54126,7.6,47720,6.7,61050,8.6,60430,8.5,69699,9.8,56588,8.0,59414,8.4,54395,7.7,58324,8.2,61484,8.7,68971,9.7,56637,8.0,704669,53717,7.6,43853,6.2,55507,7.9,56094,8.0,73158,10.4,57949,8.2,65096,9.2,59988,8.5,55143,7.8,64231,9.1,62489,8.9,57444,8.2,642092,45684,7.1,48060,7.5,44423,6.9,42783,6.7,60691,9.5,54457,8.5,58167,9.1,59093,9.2,57085,8.9,54103,8.4,57245,8.9,60301,9.4,654823,52266,8.0,46593,7.1,57684,8.8,52833,8.1,60017,9.2,55871,8.5,59227,9.0,52860,8.1,49343,7.5,50585,7.7,58457,8.9,59087,9.0
"대한적십자사","서울중앙",계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266577,24809,9.3,21466,8.1,24965,9.4,21216,8.0,23482,8.8,20849,7.8,23081,8.7,21418,8.0,20296,7.6,20955,7.9,23259,8.7,20781,7.8,251035,23563,9.4,20152,8.0,21413,8.5,19073,7.6,22053,8.8,20303,8.1,21494,8.6,21049,8.4,17480,7.0,20593,8.2,22291,8.9,21571,8.6,222024,19831,8.9,19338,8.7,16287,7.3,17709,8.0,21178,9.5,19808,8.9,18910,8.5,18013,8.1,17119,7.7,17867,8.0,17326,7.8,18638,8.4,216484,17856,8.2,15957,7.4,18848,8.7,17388,8.0,18309,8.5,18324,8.5,17258,8.0,17457,8.1,17517,8.1,18475,8.5,19177,8.9,19918,9.2
