"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,합계,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,합계,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,합계,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,합계,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,단체헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈,개인헌혈
"혈액원별(1)","혈액원별(2)",성별(1),소계,소계,소계,고등학교,고등학교,대학교,대학교,군부대,군부대,종교,종교,일반단체,일반단체,소계,소계,원내,원내,헌혈의집,헌혈의집,가두,가두,소계,소계,소계,고등학교,고등학교,대학교,대학교,군부대,군부대,종교,종교,일반단체,일반단체,소계,소계,원내,원내,헌혈의집,헌혈의집,가두,가두,소계,소계,소계,고등학교,고등학교,대학교,대학교,군부대,군부대,종교,종교,일반단체,일반단체,소계,소계,원내,원내,헌혈의집,헌혈의집,가두,가두,소계,소계,소계,고등학교,고등학교,대학교,대학교,군부대,군부대,종교,종교,일반단체,일반단체,소계,소계,원내,원내,헌혈의집,헌혈의집,가두,가두,소계,소계,소계,고등학교,고등학교,대학교,대학교,군부대,군부대,종교,종교,일반단체,일반단체,소계,소계,원내,원내,헌혈의집,헌혈의집,가두,가두
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"합계","소계",계,2928670,954074,32.6,354872,12.1,82256,2.8,350961,12.0,13736,0.5,152249,5.2,1974596,67.4,42426,1.4,1923185,65.7,8985,0.3,2883270,899964,31.2,332057,11.5,80164,2.8,325216,11.3,14547,0.5,147980,5.1,1983306,68.8,42720,1.5,1933318,67.1,7268,0.3,2791092,873252,31.3,327935,11.7,88291,3.2,289426,10.4,11063,0.4,156537,5.6,1917840,68.7,41909,1.5,1870399,67.0,5532,0.2,2611401,659102,25.2,96432,3.7,17705,0.7,301913,11.6,4975,0.2,238077,9.1,1952299,74.8,48111,1.8,1891782,72.4,12406,0.5,2604437,649759,24.9,136319,5.2,38546,1.5,259671,10.0,12982,0.5,202241,7.8,1954678,75.1,50176,1.9,1891074,72.6,13428,0.5
"합계","소계",남,2132241,770644,36.1,241711,11.3,52349,2.5,348560,16.3,5423,0.3,122601,5.7,1361597,63.8,32895,1.5,1322526,62.0,6176,0.3,2106912,722231,34.3,225667,10.7,50647,2.4,322735,15.3,5443,0.3,117739,5.6,1384681,65.7,33308,1.6,1346154,63.9,5219,0.2,2036566,685224,33.6,219656,10.8,55202,2.7,286167,14.1,5400,0.3,118799,5.8,1351342,66.4,32380,1.6,1314974,64.6,3988,0.2,1916444,551819,28.8,68153,3.6,12514,0.7,296644,15.5,3040,0.2,171468,8.9,1364625,71.2,36901,1.9,1320100,68.9,7624,0.4,1895131,523484,27.6,94120,5.0,23993,1.3,254540,13.4,7541,0.4,143290,7.6,1371647,72.4,38433,2.0,1324947,69.9,8267,0.4
"합계","소계",여,796429,183430,23.0,113161,14.2,29907,3.8,2401,0.3,8313,1.0,29648,3.7,612999,77.0,9531,1.2,600659,75.4,2809,0.4,776358,177733,22.9,106390,13.7,29517,3.8,2481,0.3,9104,1.2,30241,3.9,598625,77.1,9412,1.2,587164,75.6,2049,0.3,754526,188028,24.9,108279,14.4,33089,4.4,3259,0.4,5663,0.8,37738,5.0,566498,75.1,9529,1.3,555425,73.6,1544,0.2,694957,107283,15.4,28279,4.1,5191,0.7,5269,0.8,1935,0.3,66609,9.6,587674,84.6,11210,1.6,571682,82.3,4782,0.7,709306,126275,17.8,42199,5.9,14553,2.1,5131,0.7,5441,0.8,58951,8.3,583031,82.2,11743,1.7,566127,79.8,5161,0.7
"대한적십자사","소계",계,2714819,917762,33.8,345367,12.7,74043,2.7,347109,12.8,10752,0.4,140491,5.2,1797057,66.2,38635,1.4,1753331,64.6,5091,0.2,2681611,870660,32.5,323622,12.1,73772,2.8,324422,12.1,12133,0.5,136711,5.1,1810951,67.5,39509,1.5,1766964,65.9,4478,0.2,2613901,848228,32.5,322619,12.3,81802,3.1,289426,11.1,8946,0.3,145435,5.6,1765673,67.5,39490,1.5,1723781,65.9,2402,0.1,2435210,644359,26.5,95807,3.9,17055,0.7,301913,12.4,3013,0.1,226571,9.3,1790851,73.5,46193,1.9,1741098,71.5,3560,0.1,2426779,629448,25.9,134550,5.5,36447,1.5,259671,10.7,6945,0.3,191835,7.9,1797331,74.1,48373,2.0,1742521,71.8,6437,0.3
"대한적십자사","소계",남,1988861,743272,37.4,234989,11.8,46669,2.3,344740,17.3,3498,0.2,113376,5.7,1245589,62.6,30545,1.5,1211268,60.9,3776,0.2,1972773,701149,35.5,219953,11.1,46393,2.4,321946,16.3,3971,0.2,108886,5.5,1271624,64.5,31449,1.6,1236695,62.7,3480,0.2,1909232,666223,34.9,215891,11.3,50414,2.6,286167,15.0,3891,0.2,109860,5.8,1243009,65.1,30800,1.6,1210397,63.4,1812,0.1,1793118,540166,30.1,67708,3.8,12042,0.7,296644,16.5,1769,0.1,162003,9.0,1252952,69.9,35528,2.0,1215172,67.8,2252,0.1,1771956,508601,28.7,92817,5.2,22695,1.3,254540,14.4,3915,0.2,134634,7.6,1263355,71.3,37048,2.1,1222137,69.0,4170,0.2
"대한적십자사","소계",여,725958,174490,24.0,110378,15.2,27374,3.8,2369,0.3,7254,1.0,27115,3.7,551468,76.0,8090,1.1,542063,74.7,1315,0.2,708838,169511,23.9,103669,14.6,27379,3.9,2476,0.3,8162,1.2,27825,3.9,539327,76.1,8060,1.1,530269,74.8,998,0.1,704669,182005,25.8,106728,15.1,31388,4.5,3259,0.5,5055,0.7,35575,5.0,522664,74.2,8690,1.2,513384,72.9,590,0.1,642092,104193,16.2,28099,4.4,5013,0.8,5269,0.8,1244,0.2,64568,10.1,537899,83.8,10665,1.7,525926,81.9,1308,0.2,654823,120847,18.5,41733,6.4,13752,2.1,5131,0.8,3030,0.5,57201,8.7,533976,81.5,11325,1.7,520384,79.5,2267,0.3
