food_name,sweet,sweet2,spicy,spicy2,sour,sour2,bitter,bitter2,salty,salty2,crispy,sticky,oily,plain,test
된장찌개,2.51,2.6,4.6,7.32,2.12,3.06,0.44,3.59,0.46,2.76,1.0,1.33,0.2,0.93,67.08
생선회,3.59,3.85,4.63,5.51,3.69,4.16,0.74,4.25,0.5,2.91,2.29,1.89,0.2,1.04,60.76
깍두기,2.15,2.61,7.05,10.96,1.83,3.05,0.36,3.22,0.38,2.39,1.5,1.37,0.2,1.17,61.75
도토리묵,2.54,2.93,5.67,8.85,2.43,3.89,1.2,3.67,0.4,2.74,1.53,1.57,0.12,1.04,61.42
절편,5.25,5.69,1.95,3.37,1.46,3.01,1.15,6.07,0.35,2.21,1.47,2.79,0.25,0.57,64.43
설렁탕,2.05,2.56,5.56,9.14,1.42,3.37,0.47,4.54,0.36,2.3,0.73,1.0,0.18,1.15,65.17
크림파스타,3.17,2.79,7.02,9.38,2.41,2.75,0.45,3.64,0.46,2.43,2.1,1.33,0.56,0.89,60.62
아메리카노,6.02,4.58,1.58,2.55,1.61,3.37,0.95,5.55,0.2,1.85,1.54,0.84,0.16,0.44,68.76
메밀소바,2.74,3.16,4.37,7.9,2.13,3.1,0.45,3.95,0.56,3.12,3.06,1.78,0.23,0.97,62.49
일식돈가스,2.53,2.49,5.02,8.63,2.53,2.82,0.31,3.42,0.33,3.38,8.36,1.06,0.46,0.88,57.78
부추전,2.39,2.82,6.06,9.52,1.93,3.29,0.45,3.46,0.34,2.6,4.07,1.45,0.15,0.84,60.62
