식품명,식품대분류명,대표식품명,식품중분류명
가래떡,빵 및 과자류,가래떡,해당없음
가오리찜,찜류,가오리찜,해당없음
가오리콩나물찜,찜류,가오리콩나물찜,해당없음
가자미구이,구이류,가자미구이,해당없음
가자미식해,젓갈류,가자미식해,해당없음
가자미조림,조림류,가자미조림,해당없음
가죽나물무침,생채·무침류,가죽나물무침,해당없음
가지나물,나물·숙채류,가지나물,해당없음
가지볶음_가지,볶음류,가지볶음,가지
가지전,전·적 및 부침류,가지전,해당없음
간자장,면 및 만두류,간자장,해당없음
간자장_해물,면 및 만두류,간자장,해물
간장게장,젓갈류,게장,간장
간재미회무침,생채·무침류,간재미회무침,해당없음
갈매기살구이_돼지고기,구이류,갈매기살구이,돼지고기
갈비구이_돼지고기,구이류,갈비구이,돼지고기
갈비구이_소고기,구이류,갈비구이,소고기
갈비찜_소고기,찜류,갈비찜,소고기
갈비탕,국 및 탕류,갈비탕,해당없음
갈치구이,구이류,갈치구이,해당없음
갈치젓_양념,젓갈류,갈치젓,양념
갈치조림_무,조림류,갈치조림,무
갈치찌개,찌개 및 전골류,갈치찌개,해당없음
감바스,볶음류,감바스,해당없음
감자_찐감자,찜류,감자,찐감자
감자구이,구이류,감자구이,해당없음
감자국,국 및 탕류,감자국,해당없음
감자볶음,볶음류,감자볶음,해당없음
감자빵,빵 및 과자류,감자빵,해당없음
감자전,전·적 및 부침류,감자전,해당없음
감자조림,조림류,감자조림,해당없음
감자탕,찌개 및 전골류,감자탕,해당없음
감자튀김,튀김류,감자튀김,해당없음
갑오징어무침,생채·무침류,갑오징어무침,해당없음
갓김치,김치류,갓김치,해당없음
개고기무침,생채·무침류,개고기무침,해당없음
개고기전골,찌개 및 전골류,개고기전골,해당없음
개피떡(바람떡),빵 및 과자류,개피떡(바람떡),해당없음
건새우볶음,볶음류,건새우볶음,해당없음
건포도빵,빵 및 과자류,건포도빵,해당없음
건표고버섯볶음,볶음류,건표고버섯볶음,건표고버섯
겉절이,생채·무침류,겉절이,배추
